Policy_Number,Premium_Amount,Claim_Amount,Incurred_Loss,Claim_Status,Policy_Status,Sum_Insured,Is_Fraud,Policy_Type
POL00083,1044.52,717.29,2697.8,Open,Active,151421.57,No,Home
POL00084,957.45,2753.55,2652.65,Open,Active,138124.89,No,Life
POL00085,1049.47,1397.21,3353.28,Closed,Cancelled,113361.33,No,Home
POL00086,1474.62,528.49,2576.51,Closed,Lapsed,330086.14,No,Life
POL00087,1298.63,4596.68,1771.36,Closed,Active,401594.84,No,Auto
POL00088,1041.07,968.66,253.25,Closed,Active,310234.28,No,Home
POL00089,1353.98,1568.56,59.52,Closed,Active,116133.22,No,Home
POL00090,1229.12,4738.99,4565.49,Open,Active,415005.7,No,Auto
POL00091,1490.59,1957.6,1725.85,Closed,Active,336179.62,No,Life
POL00092,989.38,248.63,2866.09,Closed,Active,224674.57,No,Home
POL00093,1101.7,5621.23,1182.35,Closed,Lapsed,353358.63,No,Home
POL00094,1082.37,1976.15,224.6,Closed,Active,166957.24,No,Life
POL00095,760.95,815.65,240.74,Closed,Active,205336.49,No,Auto
POL00096,1288.84,299.95,2082.56,Denied,Lapsed,462868.63,No,Life
POL00097,1278.32,3160.0,1012.78,Open,Active,180727.03,No,Life
POL00098,1201.53,1935.55,402.84,Denied,Active,261494.72,No,Life
POL00099,1129.62,1524.83,1217.66,Closed,Active,450563.51,No,Home
POL00100,775.39,4486.61,119.45,Closed,Active,368474.61,No,Auto
POL00101,1073.81,3107.98,1569.97,Closed,Active,77991.45,No,Auto
POL00102,1097.19,328.98,564.0,Closed,Active,116286.37,No,Life
POL00103,959.32,747.13,2875.15,Open,Active,53528.72,No,Home
POL00104,1151.61,571.34,668.86,Closed,Lapsed,333914.81,No,Life
POL00105,1321.22,2724.74,1093.27,Closed,Active,251453.04,Yes,Home
POL00106,1765.86,68.22,21.04,Closed,Active,110423.68,No,Home
POL00107,1252.37,1687.43,135.37,Closed,Active,481070.35,No,Home
POL00108,1277.27,2874.83,897.11,Open,Active,288346.88,No,Home
POL00109,1177.67,4187.33,1176.86,Closed,Active,158851.98,No,Auto
POL00110,624.37,837.35,1649.42,Closed,Active,275271.61,No,Home
POL00111,1192.05,3443.62,620.7,Closed,Active,355829.15,No,Home
POL00112,1218.07,234.49,2137.29,Closed,Active,84307.65,No,Life
POL00113,1938.97,3747.49,3540.58,Open,Active,173616.72,Yes,Life
POL00114,1142.29,272.76,2724.21,Open,Active,413134.47,No,Auto
POL00115,1290.46,1012.63,72.77,Denied,Active,256849.19,No,Life
POL00116,1189.59,3192.01,1178.82,Open,Cancelled,295959.71,No,Home
POL00117,849.4,324.84,199.54,Closed,Active,244767.2,No,Life
POL00118,1542.85,520.79,498.84,Closed,Active,69754.97,No,Auto
POL00119,1425.58,2562.09,7770.93,Closed,Active,124587.4,No,Life
POL00120,1437.31,2546.19,276.71,Closed,Active,250493.74,No,Life
POL00121,927.18,2049.69,1243.67,Open,Active,144133.46,No,Auto
POL00122,1620.84,2368.0,1732.94,Closed,Active,72490.56,No,Auto
POL00123,779.44,1564.94,2182.0,Denied,Active,429642.35,No,Home
POL00124,1376.06,580.17,1476.33,Closed,Active,491536.64,No,Life
POL00125,1857.14,848.37,17.67,Closed,Active,406914.29,No,Home
POL00126,902.84,400.8,711.38,Closed,Active,434203.21,No,Life
POL00127,1030.11,4781.75,1312.58,Open,Active,158889.71,No,Life
POL00128,1229.9,1751.22,165.54,Closed,Cancelled,482282.14,No,Home
POL00129,1048.96,1024.49,777.15,Closed,Active,138616.57,No,Life
POL00130,734.8,1239.82,60.78,Closed,Active,478143.41,No,Life
POL00131,1220.57,5885.65,147.31,Closed,Active,497668.68,No,Life
POL00132,881.31,332.94,910.28,Closed,Active,370275.26,No,Auto
POL00133,1342.08,1764.89,256.3,Open,Active,491514.68,No,Home
POL00134,924.17,1409.99,1508.88,Closed,Active,306292.9,No,Auto
POL00135,1664.98,1890.69,2105.03,Closed,Active,166793.8,No,Home
POL00136,965.02,36.55,2902.28,Closed,Active,246648.15,No,Home
POL00137,1103.38,4113.39,402.0,Closed,Active,317102.42,No,Life
POL00138,1444.06,5379.98,329.94,Open,Active,82886.7,No,Home
POL00139,830.74,1665.43,198.81,Closed,Active,330054.47,No,Auto
POL00140,1268.24,2385.74,1821.21,Closed,Active,491530.03,No,Auto
POL00141,1592.14,5114.94,2206.43,Closed,Active,135548.44,No,Auto
POL00142,717.76,2456.79,57.77,Denied,Active,406667.8,No,Home
POL00143,1255.39,331.02,4953.95,Open,Active,458554.46,No,Auto
POL00144,1277.96,1717.4,96.07,Closed,Active,474665.72,No,Home
POL00145,1434.55,1866.44,1402.83,Closed,Active,482061.02,No,Auto
POL00146,828.91,1103.75,2222.35,Closed,Lapsed,284656.84,No,Auto
POL00147,803.86,2666.98,3685.87,Open,Active,489788.56,No,Home
POL00148,1356.58,5447.35,2253.72,Closed,Active,390789.59,No,Auto
POL00149,1289.1,5195.75,2912.61,Closed,Active,122752.15,No,Life
POL00150,1275.15,1198.73,746.43,Closed,Active,264605.05,No,Home
POL00151,1303.93,240.36,3035.62,Closed,Active,373249.03,No,Home
POL00152,995.99,8378.35,150.31,Closed,Active,161303.14,No,Home
POL00153,1269.68,3651.44,4053.69,Open,Lapsed,338276.83,No,Life
POL00154,1287.92,266.29,1427.71,Closed,Active,349970.22,No,Home
POL00155,985.69,5072.62,3059.82,Closed,Active,123214.88,Yes,Auto
POL00156,1759.73,4078.85,1083.71,Closed,Cancelled,304288.39,No,Auto
POL00157,1342.15,1463.1,1856.95,Denied,Active,397232.11,No,Auto
POL00158,842.61,1789.43,1345.32,Closed,Active,274503.05,No,Home
POL00159,1396.97,1018.33,2367.43,Open,Active,55446.4,Yes,Auto
POL00160,907.6,112.64,153.28,Closed,Active,54067.31,No,Home
POL00161,1436.13,816.53,112.05,Closed,Active,210663.2,No,Auto
POL00162,1547.58,3247.62,510.89,Closed,Lapsed,466787.33,No,Life
POL00163,953.8,9.29,312.86,Closed,Active,152904.55,No,Life
POL00164,1489.01,811.43,3697.26,Closed,Active,335463.66,No,Life
POL00165,1323.83,1015.56,445.42,Open,Active,149934.14,No,Life
POL00166,1446.62,1541.77,6703.39,Closed,Active,194751.5,No,Home
POL00167,1769.04,5047.85,739.48,Closed,Cancelled,431618.94,No,Auto
POL00168,1126.38,850.35,361.87,Closed,Active,377987.65,No,Life
POL00169,973.88,852.21,2806.58,Denied,Active,92929.67,No,Home
POL00170,933.15,2675.02,1935.03,Open,Active,242915.91,No,Life
POL00171,955.26,1203.76,1241.18,Closed,Active,63126.39,No,Life
POL00172,1176.87,508.76,1458.9,Denied,Active,266400.57,No,Home
POL00173,1302.35,1204.56,2286.21,Closed,Active,348095.31,No,Home
POL00174,1283.01,303.64,466.85,Closed,Active,103326.18,No,Auto
POL00175,1448.15,388.11,10095.54,Open,Active,179998.22,No,Auto
POL00176,1203.9,1379.78,6625.15,Open,Active,229026.48,No,Life
POL00177,1636.06,1085.75,1891.36,Closed,Active,463788.96,No,Life
POL00178,1120.6,4926.59,400.63,Closed,Active,496964.76,No,Auto
POL00179,2016.05,900.07,2052.27,Closed,Active,70210.08,No,Auto
POL00180,1387.7,1737.8,134.89,Denied,Active,392453.57,No,Home
POL00181,942.85,2000.78,56.04,Closed,Active,217275.83,No,Auto
POL00182,878.73,26.36,536.36,Closed,Active,226606.18,No,Auto
POL00183,1344.74,2178.54,1117.9,Closed,Active,389419.24,No,Life
POL00184,1132.96,392.12,3648.64,Closed,Active,463291.89,No,Auto
POL00185,1414.2,6492.0,2338.03,Closed,Active,477917.87,No,Life
POL00186,1341.97,321.89,2443.57,Denied,Lapsed,309705.16,No,Auto
POL00187,1178.15,1071.0,997.64,Closed,Active,210704.52,No,Home
POL00188,945.96,178.43,764.19,Closed,Active,404397.09,No,Auto
POL00189,745.55,11536.16,834.63,Closed,Active,162950.62,No,Auto
POL00190,1066.05,1395.09,7909.32,Open,Active,303833.31,No,Auto
POL00191,1456.92,1809.64,73.68,Closed,Active,211360.31,No,Life
POL00192,1264.23,138.86,3631.76,Closed,Active,345483.98,No,Home
POL00193,826.28,2772.27,1555.83,Open,Lapsed,158179.51,No,Auto
POL00194,1251.95,471.21,1039.23,Open,Active,136216.83,No,Life
POL00195,1315.6,4566.63,2325.46,Open,Lapsed,463207.59,No,Home
POL00196,934.84,459.18,1200.3,Denied,Active,95811.66,No,Life
POL00197,1246.12,423.14,3720.43,Closed,Active,277681.06,No,Life
POL00198,1217.46,74.47,4157.33,Open,Lapsed,149383.75,No,Home
POL00199,857.11,1277.57,985.86,Closed,Active,67518.48,No,Auto
POL00200,1307.34,1664.09,583.39,Open,Active,66208.47,No,Life
POL00201,1368.24,135.93,1615.22,Open,Active,128849.8,No,Life
POL00202,1524.92,2988.01,4382.2,Open,Active,440046.66,No,Auto
POL00203,1516.14,1207.67,425.81,Closed,Active,177115.43,No,Auto
POL00204,786.7,1486.32,1755.76,Closed,Active,477706.63,No,Home
POL00205,918.65,1162.36,1797.26,Closed,Active,311730.03,No,Home
POL00206,1354.51,1024.2,2377.67,Denied,Active,246476.39,No,Home
POL00207,1354.14,1640.33,253.92,Denied,Active,311039.98,No,Auto
POL00208,1354.51,337.41,2264.7,Closed,Active,282514.27,No,Life
POL00209,2355.82,401.61,4315.06,Closed,Active,391449.31,No,Life
POL00210,1371.27,3957.9,356.52,Closed,Active,177123.23,No,Home
POL00211,1540.67,5841.82,488.18,Open,Active,208872.68,No,Auto
POL00212,1486.2,934.6,6397.52,Open,Active,452342.44,No,Life
POL00213,1395.42,631.46,359.36,Closed,Active,475905.43,No,Home
POL00214,1105.42,2065.65,3468.22,Closed,Active,451651.2,No,Life
POL00215,1427.69,1050.98,1220.08,Open,Active,238751.6,No,Life
POL00216,968.15,51.43,511.19,Open,Active,401164.48,No,Auto
POL00217,1128.95,339.57,3682.81,Closed,Active,264351.08,No,Auto
POL00218,1054.39,2517.37,1060.81,Closed,Active,273892.93,No,Life
POL00219,1224.56,2151.3,1301.81,Closed,Active,142106.05,No,Home
POL00220,1894.4,54.94,801.16,Closed,Active,316008.64,No,Auto
POL00221,639.82,501.99,1617.88,Closed,Active,133761.15,No,Life
POL00222,1405.88,525.52,321.4,Closed,Active,199204.11,No,Auto
POL00223,716.19,2228.83,892.93,Open,Lapsed,434763.59,No,Auto
POL00224,1058.42,39.81,6276.88,Closed,Lapsed,143184.11,No,Auto
POL00225,1526.69,219.87,537.45,Open,Active,82021.23,No,Life
POL00226,1219.28,3218.04,1924.66,Closed,Active,81053.42,No,Home
POL00227,876.68,393.36,707.98,Closed,Active,473353.03,No,Home
POL00228,985.41,2115.4,2672.81,Closed,Active,278114.2,No,Home
POL00229,1403.88,544.1,252.48,Closed,Active,234235.43,No,Auto
POL00230,980.89,209.48,6301.1,Open,Active,414895.36,No,Life
POL00231,1264.94,557.24,1088.55,Denied,Active,426121.67,No,Auto
POL00232,1213.67,2562.19,484.66,Closed,Active,199485.96,No,Home
POL00233,1004.52,3871.67,137.41,Closed,Active,362128.13,No,Home
POL00234,1843.18,3546.5,334.87,Open,Active,397005.27,No,Life
POL00235,1390.18,1012.28,1320.3,Closed,Active,344592.81,No,Auto
POL00236,592.46,2205.75,739.77,Closed,Lapsed,118217.78,No,Home
POL00237,1255.94,458.79,3177.74,Open,Active,444147.39,No,Life
POL00238,1001.46,693.87,1014.62,Closed,Active,292592.55,No,Auto
POL00239,1455.73,4533.2,514.74,Closed,Active,177112.59,No,Auto
POL00240,962.24,26.17,1728.18,Closed,Active,241352.68,No,Home
POL00241,1165.58,178.77,2208.28,Open,Active,66906.99,No,Home
POL00242,1351.5,466.1,328.99,Closed,Active,107540.06,No,Auto
POL00243,1459.73,53.78,330.24,Closed,Active,394496.04,No,Auto
POL00244,839.91,400.41,67.25,Open,Active,50005.24,No,Home
POL00245,1099.65,1749.54,2399.99,Closed,Active,237454.62,No,Auto
POL00246,1057.52,1094.37,1962.11,Open,Active,285129.58,No,Home
POL00247,1004.0,4463.73,1158.58,Closed,Active,74585.49,No,Auto
POL00248,1729.64,3401.39,3346.19,Denied,Active,487885.17,No,Home
POL00249,1321.49,836.55,2948.76,Closed,Active,151756.4,No,Life
POL00250,821.73,600.65,1584.6,Closed,Cancelled,186889.42,No,Home
POL00251,1475.36,955.08,3648.62,Closed,Active,186774.13,No,Home
POL00252,1836.65,1784.64,414.85,Closed,Active,153687.5,No,Life
POL00253,1509.74,624.12,213.65,Open,Active,50663.22,No,Auto
POL00254,744.19,1957.12,565.86,Denied,Active,378205.16,Yes,Life
POL00255,1054.73,1053.27,105.81,Closed,Active,485080.47,No,Home
POL00256,1580.07,1606.13,1363.53,Closed,Active,150932.07,No,Auto
POL00257,987.7,1145.85,4965.09,Open,Cancelled,348371.24,No,Life
POL00258,1333.15,697.6,72.25,Open,Active,383853.35,No,Auto
POL00259,1432.39,5930.53,234.42,Closed,Active,431791.42,No,Auto
POL00260,921.92,2884.51,1083.32,Closed,Active,240183.14,No,Life
POL00261,1182.14,301.91,4889.18,Closed,Active,186318.91,Yes,Auto
POL00262,227.62,4057.01,684.05,Closed,Active,196382.81,No,Life
POL00263,892.68,1336.64,1273.9,Closed,Active,370679.6,No,Home
POL00264,1124.23,4499.08,76.43,Closed,Active,417550.76,No,Auto
POL00265,825.67,3217.43,289.03,Closed,Active,131726.29,No,Home
POL00266,1689.72,1107.51,7766.55,Open,Active,216923.45,No,Home
POL00267,770.96,45.45,6040.45,Closed,Lapsed,455873.09,No,Auto
POL00268,1067.99,625.8,8.91,Closed,Active,413012.08,No,Life
POL00269,1239.22,1560.18,5458.75,Closed,Cancelled,493186.28,No,Auto
POL00270,1632.38,2007.39,1834.58,Closed,Active,389411.72,No,Home
POL00271,769.24,596.51,3643.8,Closed,Lapsed,226937.84,No,Home
POL00272,1548.95,300.15,1091.69,Closed,Active,315787.03,No,Life
POL00273,1203.07,3602.77,1304.7,Closed,Active,347456.41,No,Auto
POL00274,905.55,8321.25,1207.95,Closed,Cancelled,85305.12,No,Home
POL00275,1338.63,1491.79,1978.57,Closed,Active,295023.63,No,Home
POL00276,1259.72,376.71,270.75,Closed,Cancelled,369194.37,No,Home
POL00277,1019.93,635.75,54.78,Open,Active,125294.59,No,Life
POL00278,1220.94,37.12,662.52,Closed,Active,401284.27,No,Home
POL00279,1084.41,4913.78,2195.46,Open,Active,312697.75,No,Home
POL00280,1234.06,250.56,405.83,Closed,Active,478499.8,No,Auto
POL00281,1398.64,1718.48,2014.41,Closed,Active,69090.03,No,Auto
POL00282,1675.81,640.56,6306.53,Closed,Active,169396.76,No,Home
POL00283,828.66,1615.67,177.49,Closed,Active,320699.25,No,Home
POL00284,1839.91,2107.78,2009.84,Open,Active,183451.96,No,Auto
POL00285,614.37,3540.88,1055.77,Open,Active,371490.87,No,Life
POL00286,1154.46,462.41,3646.86,Open,Active,391552.38,No,Life
POL00287,1376.5,22.11,350.97,Closed,Active,96132.18,No,Life
POL00288,1284.3,294.42,2123.44,Closed,Active,281234.51,No,Life
POL00289,1013.19,4605.54,3277.57,Closed,Active,279000.75,No,Life
POL00290,1137.56,4141.2,5208.18,Closed,Active,216176.35,No,Life
POL00291,1052.1,1819.69,2069.35,Closed,Active,469816.19,No,Life
POL00292,1023.19,1835.17,1237.52,Closed,Active,422377.84,No,Life
POL00293,1454.88,2187.47,1731.48,Closed,Cancelled,363744.22,No,Auto
POL00294,1307.1,385.64,3657.3,Closed,Active,371446.99,No,Life
POL00295,992.13,4916.42,1521.7,Open,Active,257772.26,No,Life
POL00296,1469.88,1085.22,55.54,Denied,Active,464447.53,No,Life
POL00297,1292.19,966.22,4811.23,Denied,Active,362567.94,No,Home
POL00298,1443.86,1463.43,2105.38,Closed,Active,378041.48,No,Auto
POL00299,1388.89,96.21,2031.48,Closed,Active,437760.91,No,Auto
POL00300,951.3,363.72,437.28,Closed,Active,173332.22,No,Auto
POL00301,1031.95,2679.08,1935.97,Open,Active,413181.91,No,Life
POL00302,1424.19,172.86,901.17,Closed,Cancelled,137858.27,No,Life
POL00303,1383.11,1848.4,1896.03,Closed,Lapsed,205403.88,No,Home
POL00304,1193.73,563.0,202.88,Open,Active,201024.7,No,Auto
POL00305,1235.2,986.28,1930.49,Closed,Active,490336.46,No,Life
POL00306,1583.3,681.3,13395.1,Closed,Active,435441.75,No,Auto
POL00307,1022.53,879.1,88.94,Closed,Active,365526.44,No,Home
POL00308,1364.13,2539.13,6803.75,Closed,Active,377175.54,No,Home
POL00309,1139.34,705.14,940.33,Closed,Active,302932.76,No,Home
POL00310,1134.7,1671.29,3682.86,Closed,Active,476190.8,No,Auto
POL00311,1529.63,1292.72,2745.05,Closed,Active,273316.44,No,Life
POL00312,1447.62,2179.33,1506.7,Closed,Active,221232.97,Yes,Life
POL00313,1444.05,5523.84,2414.03,Open,Cancelled,123365.9,No,Home
POL00314,1591.64,2637.81,3794.34,Closed,Lapsed,403792.54,No,Life
POL00315,1206.3,483.99,931.95,Closed,Active,380499.77,No,Home
POL00316,1404.59,63.36,712.91,Closed,Active,222959.77,No,Auto
POL00317,1106.92,608.34,1982.51,Denied,Lapsed,61337.04,No,Home
POL00318,1297.25,1808.12,2969.02,Closed,Active,427548.8,No,Auto
POL00319,1160.96,105.59,2586.03,Closed,Active,55138.09,No,Home
POL00320,1229.1,1371.81,2877.42,Open,Active,366664.9,No,Life
POL00321,1378.55,1816.86,1029.53,Open,Active,486615.7,No,Life
POL00322,954.53,813.66,3065.11,Closed,Active,246947.6,No,Home
POL00323,1827.72,2947.3,230.53,Open,Lapsed,155738.03,No,Life
POL00324,898.19,225.44,1415.4,Closed,Lapsed,367191.95,No,Life
POL00325,835.74,156.22,10.4,Closed,Active,417707.66,No,Life
POL00326,1547.43,2605.29,706.37,Closed,Active,295893.64,No,Auto
POL00327,1437.5,1368.34,821.58,Closed,Cancelled,485165.87,No,Life
POL00328,1387.24,2332.09,908.04,Open,Active,73250.92,No,Auto
POL00329,1388.5,1141.25,2140.16,Closed,Lapsed,277158.02,No,Home
POL00330,1196.33,565.79,885.48,Closed,Active,373304.28,No,Life
POL00331,930.82,3419.65,1071.84,Open,Active,438188.21,No,Life
POL00332,1222.74,3213.04,488.18,Open,Active,130665.03,No,Life
POL00333,996.85,2372.9,840.98,Closed,Active,410001.57,No,Home
POL00334,1492.54,635.31,464.09,Closed,Active,298718.18,No,Auto
POL00335,1155.88,1784.32,136.82,Closed,Active,228449.16,No,Auto
POL00336,952.35,895.62,1664.91,Open,Active,109271.76,No,Life
POL00337,1103.58,192.1,1985.87,Closed,Active,439383.09,No,Home
POL00338,1323.88,4985.4,1739.24,Denied,Active,120772.94,No,Home
POL00339,1030.88,294.26,1120.82,Closed,Lapsed,189404.54,No,Home
POL00340,953.33,6000.98,859.84,Closed,Cancelled,180520.49,No,Home
POL00341,1273.11,1181.2,3582.38,Closed,Active,442136.32,No,Home
POL00342,1273.49,409.46,1317.7,Closed,Active,352716.35,No,Auto
POL00343,1047.92,1561.34,1174.24,Closed,Active,408506.63,No,Auto
POL00344,1058.69,4126.28,46.76,Denied,Active,162710.55,No,Auto
POL00345,1269.61,2635.22,751.33,Closed,Cancelled,331193.34,No,Life
POL00346,765.57,3285.59,861.03,Closed,Active,307285.69,No,Home
POL00347,777.76,2150.48,915.96,Open,Active,424773.67,No,Life
POL00348,984.47,2357.11,1562.24,Closed,Lapsed,457739.18,No,Home
POL00349,1135.97,3783.54,1372.89,Open,Active,55470.55,No,Auto
POL00350,1293.27,574.48,1685.25,Closed,Active,353308.96,No,Life
POL00351,1642.61,1344.44,2605.81,Closed,Lapsed,73326.11,No,Auto
POL00352,1457.3,500.03,3017.83,Closed,Active,296986.4,No,Home
POL00353,1152.02,8791.12,2279.31,Closed,Lapsed,179434.73,No,Home
POL00354,1194.3,5766.93,5603.04,Denied,Active,188049.47,No,Home
POL00355,899.24,80.45,33.12,Closed,Active,208831.33,No,Auto
POL00356,1194.45,2445.46,392.18,Closed,Active,329581.6,No,Home
POL00357,1113.4,5187.17,13.66,Closed,Lapsed,200322.48,No,Auto
POL00358,1296.82,398.31,1876.74,Closed,Active,379714.57,No,Life
POL00359,951.83,1678.41,4109.55,Open,Active,232037.32,No,Home
POL00360,1355.8,4941.73,502.25,Closed,Active,80758.94,No,Home
POL00361,1659.82,69.07,4711.98,Closed,Active,402691.93,No,Home
POL00362,1167.37,2390.82,111.89,Denied,Active,178591.25,No,Life
POL00363,1320.51,705.79,4904.51,Closed,Active,244745.1,No,Home
POL00364,1407.04,5164.5,779.91,Denied,Active,358449.75,No,Auto
POL00365,1079.63,7084.94,192.49,Closed,Active,199605.27,No,Auto
POL00366,1267.23,5774.35,1197.51,Closed,Active,75463.55,No,Home
POL00367,1203.78,1285.72,534.17,Closed,Active,218264.47,No,Home
POL00368,1229.3,3961.62,603.53,Open,Active,475001.86,No,Life
POL00369,968.1,3722.85,660.86,Denied,Cancelled,338780.48,No,Life
POL00370,1207.35,768.68,2924.43,Closed,Active,352165.62,No,Life
POL00371,1349.4,3531.2,1394.47,Closed,Cancelled,334526.97,No,Home
POL00372,1635.34,75.42,671.33,Closed,Active,139546.46,No,Life
POL00373,1487.78,1814.02,1696.44,Closed,Active,238250.24,No,Life
POL00374,1845.95,522.75,2266.76,Closed,Active,387922.91,No,Auto
POL00375,969.8,256.96,572.96,Denied,Active,95617.8,No,Life
POL00376,1461.7,160.15,960.6,Closed,Active,175033.75,No,Auto
POL00377,1255.0,2383.36,233.96,Closed,Active,174343.6,No,Auto
